#;Oggetto;# Fixed on ;# Fixed also on ;# Major release
38016;PROD | Costi, oneri e incentivi polizze e fondi;"";"";6.62.0
38007;"PROD | Rimozione ""Bozza"" su fascicolo di consiglio / modulo d'ordine / questionario idd e rimozione box registrazione telefonica";"";"";6.60.0
38003;Rimozione firme su Date/Ora e test acquisizione risposta firma grafometrica;"";"";6.62.0
38001;Amministrato - costi e oneri (tb PFFTMCN) - adeguamenti;"";"";""
38000;Accesso Ghost - estrazione utenti cancellati / disattivi;"";"";6.69.0
37995;PROD | Casistica GIANI ALFREDO - Polizza su dossier mono-intestato e cc di riferimento cointestato;"";"";""
37993;Matrice per carico TTIANA.TITPNT;"";"";6.59.0
37990;Operatività Fondi - per rimborso e switch possibilità di non effettuare chiamata a servizi Cabel;"";"";6.59.0
37989;PROD | Modificare descrizioni linee GP;"";"";6.60.0
37988;"PROD | Modificare stringa ""Rischio di mercato personalizzato"" con ""Punteggio di rischio massimo""";"";"";6.61.0
37968;Ricezione eseguiti (fase ROTEM);"";"";6.59.0
37962;PROD | Rating ESG anomali;"";"";""
37961;PROD | Errore su raccomandazione (2);"";"";""
37960;"PROD | Sottoscrizioni GP e Polizza ""bloccate"" se non selezionato il time deposit come C/C di appoggio";"";"";6.59.0
37946;PROD | Estrazione dati;"";"";""
37945;PROD | Holding Period su obbligazioni perpetue;"";"";6.60.0
37941;Popup Mito solo in login;6.54.2;"";6.57.0
37940;Documento di prima sottoscrizione ADEIEX11;"";"";""
37937;Fondi Eltif 2.0 modifca limite di concentraizone;"";"";""
37931;PROD | Anomalia su liquidità dossier;"";"";6.59.0
37930;PROD | Risposte MiFID non presenti;"";"";""
37929;VAPT - underscore.js;6.54.2;"";6.58.0
37914;PROD | Movimenti di rimborso parziale polizza erroneamente sommati;"";"";6.59.0
37909;PROD | Parametrizzazione tabella titoli complessi;"";"";6.59.0
37903;PROD | HP POLIZZE da riparametrare;"";"";6.58.0
37885;Progettualità SSO internet banking mito - Twill - Portale cliente - Aggiunta popup informativo;6.54.1;"";6.58.0
37875;PROD | Incoerenza IDD - Polizza Arca Piano di Risparmio Oscar 100%;"";"";6.59.0
37874;PROD | Rimozione switch parziale GP;"";"";6.61.0
37868;Supporto a Tech-La per IaLandings;"";"";""
37867;PROD | Prima sottoscrizione polizza ITALIANA;"";"";6.58.0
37862;"Richiesta modifica naming ""Financial Advisor"" in ""Consulente""";"";"";""
37859;Punteggio appropriatezza GP Cambiano;"";"";""
37858;Carico TMFFRD-EMT per polizze e GP;"";"";""
37857;PROD | Errore su stampa report;"";"";6.58.0
37856;"PROD | Modifica campo ""Tipologia"" per depositi di risparmio e buoni di deposito e rimozione dossier a 0";"";"";6.63.0
37855;PROD | Dettaglio Time Deposit;"";"";NEXT
37851;PROD | Fascicolo di consiglio: presenza di una polizza estinta;"";"";""
37846;PROD | HP polizze tutti uguali e negativi;"";"";6.57.0
37844;VAPT - segnalazioni;6.54.2;"";6.58.0
37837;Tabelle coefficienti di correzione per adeguatezza RL RC HP;"";"";6.59.0
37835;PROD | TWILL OFFICE - Errore su elenco richieste interventi Banca;"";"";6.59.0
37830;PROD | NDG 003585965: Posizione non appropriata;"";"";6.57.0
37828;PROD | Raccomandazione: Prodotti non adeguati in fase di sottoscrizione;"";"";6.57.0
37827;ACCESSO CLIENTE - TWILL CLIENTI;6.55.1;"";6.57.0
37823;PROD | Obiettivo di sostenibilità non valorizzato;"";"";""
37819;Supporto fasi batch - chiave doppia TCLCOL per collegamento cliente vs 2 consulenti;"";"";""
37790;Rischio di Credito - esposizione per cointestazione (rif #37612);"";"";""
37770;PROD | Errore su saldo in tempo reale;"";"";""
37768;VAPT - Accesso Portale Cliente con NDG non del Cliente;6.54.2;"";6.58.0
37767;PROD | Saldi GP incoerenti rispetto ad AS400;"";"";6.61.0
37766;PROD | Rischio di mercato personalizzato pari a 0;"";"";6.58.0
37765;PROD | Errore su data riferimento e rendimento linea GPEA;"";"";6.64.0
37764;PROD | Assenza ordinante trust;"";"";""
37763;PROD | Errore tecnico su operatività polizza;"";"";""
37762;PROD | Esito raccomandazione non coerente con semafori verdi;"";"";""
37761;PROD | Versamento aggiuntivo su GPM;"";"";6.59.0
37760;PROD | Minimo sottoscrivibile NOBIS;"";"";""
37759;PROD | Anomalia su verifica di coerenza delle polizze con questionario IDD;"";"";""
37708;Consulenza base - attivazione confronta fondi target;"";"";6.59.0
37696;MODIFICA URGENTE STATEMENT SQL DI WORKSPACE;"";"";""
37691;PROD | Documentazione operatività polizza altri doc.ti (Extra Prima Sottoscrizione) (segue da #37361);"";"";""
37671;Gestione fondi pensione;"";"";""
37647;APPORTI PRELIEVI A ZERO SE INSERISCO DATA DA INIZIO RAPPORTO;"";"";""
37646;Riorganizzazione Indici TSTSLG;"";"";""
37617;PROD | Incoerenza strumenti in Black List;"";"";6.57.0
37613;PROD | Holding Period incoerente rispetto ad AS400;"";"";""
37612;"PROD | Superamento ""anomalo"" del rischio di credito";"";"";6.57.0
37607;Sottoscrizione Eltif (2.0) - fase 1;"";"";6.67.0
37592;Adeguamento flusso TTIANA (attuale disallineamento);"";"";6.90.0
37591;"Differenza patrimonio dossier rispetto lista ""miei dossier""";"";"";""
37590;Flusso TTIANA campo TITPNT;"";"";6.57.0
37589;Prodotti complessi - limiti % di Banca Cambiano;"";"";6.59.0
37588;Mettere a regime fasi ROTEM (Eseguiti Amministrato) e UTIND (invio a Viacart);"";"";""
37587;Errore inserimento utente in governance;"";"";""
37586;Servizio per cellulare e mail certificati;"";"";""
37585;Verifica appropriatezza linee GP;"";"";""
37584;Carico/adeguamento flusso EMT;"";"";""
37583;Configurazione FEA Namirial;"";"";""
37582;Flusso TAFCNT mensile;"";"";""
37581;appropriatezza polizze;"";"";6.57.0
37578;Modifica strategia ordini Akros e MarketHub;"";"";""
37573;Ripristino invio ordini per GoLive PRODUZIONE;"";"";""
37562;Profili mifid BASSE/ZERO;"";"";""
37545;PROD | Raccomandazione: Non consentita scelta ordinante;"";"";""
37544;Gestire errore in chiamata;"";"";6.53.0
37542;Polizze - introduzione test di equivalenza ramo 1;"";"";""
37536;Modulistica prima sottoscrizione per Fondi;"";"";6.56.0
37531;Costi e oneri per Amministrato su modulo d'ordine (tb PFFTMCN);"";"";""
37529;PROD | Controlli di coerenza anomali;"";"";""
37527;Personalizzazione logo Banca Cambiano in Portale Cliente;"";"";6.53.0
37519;PROD | Modulo d'ordine: rimozione sezione di appendice;"";"";6.53.0
37518;Verifica XFORM_Errore modifica modulo natixis NIF IE;"";"";""
37513;Carico estemporaneo WatchList, StyleAnalysis;"";"";""
37504;Financial Prospect - inserimento - mancanza popolamento Promotore;"";"";""
37489;PROD | Modifica domanda IDD;"";"";""
37488;PROD | Sottoscrizione GP sempre da autorizzare;"";"";6.53.0
37484;Supporto temporaneo produzione per inibire chiamate vs servizi Cabel;"";"";""
37483;ordine in richiesta forzatura;"";"";""
37471;Modifica accesso servizio API di Akros;"";"";""
37462;ASSENZA POSSIBILITA' DI VEDERE LE RACCOMANDAZIONI( RACCOLTE DIRETTE ) FATTE SUI CLIENTI DCI;"";"";""
37461;ERRORE VISUALIZZAZIONE OPERATORI CON RUOLI DCI;"";"";""
37446;ERRORE RACCOLTA DIRETTA;6.49.1;"";6.51.0
37429;ERRORE SEGNALATO DA CLIENTE TWILL;6.49.1;"";6.51.0
37408;ANOMALIA SCHEDA DI ADESIONE CERTIFICATO DE000UM92RJ0;6.49.1;"";6.51.0
37405;Supporto per segnalazione Xform post rilascio 6.49.0;"";"";""
37402;REPORT CONSULENTE E CLIENTE ERRATI;"";"";""
37401;ERRORE FONDI POLIZZA UNIQA-UL NON SOTTOSCRIVIBILI MA DATI IN TABELLA OK;6.49.1;"";6.51.0
37398;Errore moltiplicazione saldi polizze (clUTPOLIZZE);6.49.1;"";6.51.0
37396;URGENTE - problemi a fronte del rilascio versione 6.49;"";"";""
37394;Gestione PAC su Polizze;"";"";""
37393;PROD | Affidamenti: incoerenza sull'importo utilizzato;"";"";""
37392;Gestione nuovo flusso TTIFIL;"";"";6.86.0
37389;Errore in apertura Analisi 88831 - Spiriti Daniela;"";"";""
37385;PROD | Polizze erroneamente incoerenti;"";"";""
37372;ADDENDUM PER FIRMA ELETTRONICA AVANZATA ANIMA SGR;"";"";""
37371;Configurazione lista titoli in conflitto di interesse;"";"";6.55.0
37370;Confronto asset class portafogli per nuovo report;"";"";""
37361;PROD | Documentazione operatività polizza;"";"";6.63.0
37360;PROD | Aggiornamento Questionario IDD;"";"";""
37359;PROD | Rimozione toggle TCM polizze;"";"";6.51.0
37358;Esposizione check appropriatezza nella scelta sottostanti GP;"";"";6.51.0
37356;PROD | Campi non valorizzati nella sezione Titoli;"";"";6.51.0
37354;PROD | Saldi storici non visualizzati;"";"";6.51.0
37353;PROD | Posizione Cliente non visualizzata;"";"";6.51.0
37351;PROD | Scheda contratto - Dettaglio GP ;6.67.2;"";6.69.0
37350;PROD | Affidamenti non visualizzati;"";"";""
37345;PROD | Incoerenza su dossier;"";"";""
37344;PROD | Incoerenze su conti correnti;"";"";""
37342;"PROD | Header - Rimozione etichetta ""Sviluppo"" dall'header";"";"";6.51.0
37341;Prod | Home Page: pesi % composizione ptf ;"";"";""
37331;Modifica servizio ricezione ordini/eseguiti da Akros;"";"";""
37329;GP - Incoerenza dei saldi tra Twill e Report;"";"";6.58.0
37322;Errore Consiglio;"";"";""
37315;Anomalia RM #36918 - Segnalazione Ilenia Vanni ;"";"";6.59.0
37306;Questionario IDD;"";"";""
37305;Configurazione Utenti Cambiano;"";"";""
37304;Configurazione GP (Supporto);"";"";""
37303;Configurazione Polizze (Supporto);"";"";""
37290;Posizioni di società non complete;"";"";""
37289;Test in UAT - Anagrafiche mifid;"";"";6.53.0
37288;Forzare MATRICOLA = 'NOMATTW' se MATRICOLA non presente in Invocazione Servizi;"";"";6.50.0
37287;Attivazione Controlli TM su Amministrato;"";"";""
37286;Gestione definitiva;"";"";6.89.0
37285;Gestione Work-Around;"";"";6.50.0
37283;Abilitazione Cliente su Grafo/Fea tramite invocazione Servizio CABEL;"";"";6.51.0
37281;Impostazione cambpo DA_PROMOTORE = 'N', fisso per Cambiano in invocazione servizi CABEL ;"";"";6.50.0
37273;Test in ambiente UAT - firma grafometrica;"";"";6.53.0
37247;Inserimento nuova tariffa polizza su Twill Office;6.49.1;"";6.50.0
37241;Ottimizzazione batch calcolo performance SIDSP;"";"";6.49.0
37239;Polizze - gestione movimenti di storno (stato ANNULLATO);"";"";6.49.0
37230;Polizze - importo versato = somma movimenti;"";"";6.49.0
37229;Lista movimenti della linea GP in errore;"";"";6.50.0
37170;Problema in accesso Twill Office da Utenti Tech-La;"";"";""
37143;Nuova configurazione classi documentali vs tag dedicata a Twill;"";"";6.50.0
37141;Raccomandazione - Messaggio di errore in caso di consolidamento;"";"";""
37140;"Raccomandazione - Toggle ""Richiesta Cliente"" bloccato su ""Sì""";"";"";""
37139;Polizze - assegnazione ndg e CC;"";"";""
37136;Svuotamento flussi TCLASS e TKYRAP;"";"";""
37123;Tuning scarti polizze;"";"";""
37114;Depositi vincolati - valorizzazione RAPNUM = 14 cifre;"";"";6.48.0
37101;Rappresentazione Zero Coupon ;"";"";6.49.0
37063;Pulizia dati per LIVE;"";"";""
37061;Riscostruzione Cassetto Fittizzio;"";"";6.48.0
37047;Assistenza fasi batch in errore (db_link cabel_as400 KO per fase MFFRD);"";"";""
37045;Trattamento nuovo tracciano TTIANA;"";"";6.49.0
37019;Rappresentazione Zero Coupon - Implementazione;"";"";6.49.0
36947;Gestione Delegati a operare su CC e Dossier;"";"";""
36943;Performance Dossier GHIDONI CARLO ;"";"";""
36921;Monitoraggio: Segnalazioni SF Non appropriati / Non adeguati;"";"";""
36920;Verifica MiFID Cliente 002254043;"";"";""
36919;Anomalia su TM strumento LU0147408131;"";"";6.46.0
36917;"Raccomandazione - Rimuovere ""Modulo Istruzione""";"";"";6.46.0
36916;"Reportistica: campo ""Ufficio""";"";"";6.51.0
36915;Proposta: riferimenti ad offerta fuori sede, Twill Cliente e registrazione telefonica;"";"";6.51.0
36914;Fondi - Rischio di liquidità a 1;"";"";6.51.0
36913;Controllo su taglio minimo obbligazione;"";"";""
36912;Gestione collocabilità strumento finanziario (fondo);"";"";""
36908;Progettualità SSO internet banking mito - Twill - Portale Cliente;"";"";6.51.0
36883;STIMA MANAGERIALE_ Implementazioni GIANOS per Italiana;"";"";""
36878;Invio della documentazione a Repository Documentale (ViaCart);"";"";""
36877;Invio della documentazione a Repository Documentale (ViaCart) - Test in ambiente UAT e PRODUZIONE;"";"";""
36848;verifica naming gestione separata;"";"";""
36840;APERTURA CONTRATTO IN ERRORE - APPLICAZIONE CONTRATTI;"";"";""
36834;uat ordini dci_commissioni applicate;"";"";""
36830;Flusso TTIRDL (da Analysis) - fornitura flusso per rischio di liquidità;"";"";6.51.0
36829;Flusso TTIANA - aggiornamento valore rischio di credito;"";"";""
36826;verifica blocco adeguatezza clienti DCI;"";"";6.49.0
36825;Installazione in TEST e PRODUZIONE v.6.45.0;"";"";""
36766;Algoritmi di calcolo Twill;"";"";""
36762;FASE SA POZRI;"";"";""
36757;STIMA MANAGERIALE_Calcolo giacenza media posizioni in consulenza base;"";"";""
36749;"Raccolta diretta: tempi di caricamento ""Simula ptf attuale""";"";"";""
36748;Funzionalità di ricerca: titolo non trovato;"";"";""
36722;Inibizione temporanea di alcune segnalazioni di monitoraggio;"";"";""
36715;Monitoraggio: Segnalazione polizza fuori policy senza polizze in ptf;"";"";""
36712;Monitoraggio: Contatore in Home Page erroneamente pari a 0;"";"";""
36704;Sostituzione flusso EMT con accesso a TMFCEMT di SIFDATI;"";"";6.45.0
36702;Fondi - errata esposizione Sottoscrizioni/Rimborsi in sezione acquisti / vendite del fascicolo di consiglio;6.42.1;"";6.45.0
36684;Installazione / System Test / Post-Avvio - Twill Consulia;"";"";""
36683;Sal Periodici Twill Consulia;"";"";""
36682;Business Game - Università Napoli;"";"";""
36672;Fine Tuning OnLine;"";"";""
36671;Generazione Flusso per Italiana Assicurazioni;"";"";6.47.0
36670;Gestione Polizze;"";"";""
36667;Projects General;"";"";""
36666;Dry Run TWILL da parte di Cambiano;"";"";""
36665;Configurazione / Settings ;"";"";""
36664;Integrazione SSO;"";"";""
36663;Change Applicative Previste;"";"";""
36661;CRs emerse in fase progettuale;"";"";""
36652;Errore edit ordine da Twill Office;6.39.5 e 6.42.1 e 6.43.1 e 6.44.2;"";6.49.0
36650;Gestione Libretti di deposito;"";"";6.89.0
36649;Polizze - verifica / gestione / configurazione polizze con NON Unit linked;"";"";6.46.0
36648;Clienti / Rapporti estinti: esclusione da parte di Cabel;"";"";""
36646;Test richiesta forzatura ordini (Amministrato e Gestito);"";"";""
36641;Integrazione FEA NAMIRIAL;"";"";6.51.0
36639;Recupero dati per Calcolo performance;"";"";6.71.0
36638;Adeguamenti per calcolo performance;"";"";6.83.0
36637;Tuning fase di monitoraggio;"";"";6.46.0
36635;KIID fondo;"";"";6.46.0
36634;Scheda fondo;"";"";6.47.0
36633;Compara fondo;"";"";6.47.0
36632;Funzionalità Search&Compare Fund;"";"";6.47.0
36631;Disattivazione firma telefonica;"";"";6.46.0
36625;Saldi GP senza cassetto;"";"";6.48.0
36620;"Raccolta diretta e raccomandazione: errore ""presentatore non valido""";"";"";""
36619;modulo prima sottoscrizione Italiana non prodotto in formato FEA;"";"";""
36612;ERRORE accesso Analisi per auorizzazione operazione ( forzatura );"";"";6.46.0
36611;Raccomandazione: errore Liquidità insufficiente;"";"";""
36604;Raccomandazione - Flag su toggle di superamento rischio personalizzato;"";"";""
36596;Amministrato - Valorizzazione dati costi e oneri in Fascicolo di Consiglio;"";"";""
36595;Amministrato - attivazione Target Market per Azioni/Obbligazioni;"";"";6.92.0
36594;Amministrato - Popolamento matrice PFFTMCN per % comm.ne negoziazione (condizioni vs Titolo);"";"";""
36593;Amministrato - predisporre esecuzione per ricezione eseguiti - Fase ROTEM;"";"";""
36592;Raccomandazione - Doppio consolidamento;"";"";""
36591;Raccomandazione: Errore grafico in fase di assegnazione dossier;6.44.1;"";6.45.0
36583;Mancata incrementale per creazione tb TTIBUY;6.42.1 e 6.43.1 e 6.44.1;"";6.45.0
36582;Raccomandazione - Polizza - Errore sul KID;6.42.1 e 6.43.1 e 6.44.1;"";6.45.0
36581;Raccomandazione: errore servizio Cabel;"";"";""
36580;Raccomandazione - Tempi di caricamento lunghi in fase di consolidamento;"";"";""
36579;"Raccomandazione: Errore al click su ""Disponi e invia"" / ""Disponi""";6.44.1;"";6.45.0
36578;Modulistica con riferimenti Finint;6.44.1;"";6.45.0
36562;Raccolta diretta: errore bloccante;"";"";""
36561;Tclana.codesm non valorizzato con impatto su controllo TM2 Target Market;"";"";6.46.0
36551;Attivazione FEA Anima SGR(richiesta di stima);"";"";6.74.0
36532;Clienti senza profilo di rischio;"";"";6.46.0
36530;Raccolta diretta: visualizzazione errata nella scheda rischio;"";"";""
36528;"Raccolta diretta: non compare il pulsante ""Accettazione""";6.41.2 e 6.42.1 e 6.43.1;"";6.44.0
36527;Raccolta diretta: errore questionario scaduto;"";"";""
36526;"Raccolta diretta: pulsante ""Inserisci e verifica"" non funzionante";"";"";""
36525;Raccolta diretta: Messaggio di errore tecnico in fase di accettazione;6.44.1;"";6.45.0
36524;Raccolta diretta: rischio di ptf scende se acquisto titoli;"";"";""
36521;Anomalie dopo rilascio vers 6.40;"";"";""
36506;Incremento numero decimali;"";"";""
36502;"Anagrafica: campo ""Tipologia Cliente"" vuoto";"";"";""
36501;"Scheda Mifid - Errore ""formattazione""";6.44.1;"";6.45.0
36500;"Sezione ""I miei contratti"" resta in caricamento";"";"";""
36499;Raccomandazione: Rischio ptf che sale dopo rimborso;"";"";""
36498;Raccolta diretta: errore riprofilatura opportunistica;"";"";""
36497;Raccomandazione con esito sempre Non coerente;"";"";""
36492;Diretta - errore in inserimento Amministrato;6.40.1 e 6.41.1 e 6.42.1;"";6.43.0
36491;Installazione in TEST e PRODUZIONE v.6.42.0;"";"";""
36484;attivazione FEA Estero;"";"";""
36472;Scheda Contratto: delta saldo dossier con ctv titoli;"";"";""
36470;Errore Raccomandazione non coerente - Possibilità di estendere per richiesta Cliente;"";"";""
36469;Posizione Cliente non accessibile;6.41.1 e 6.42.1;"";6.43.0
36468;"Portafoglio aggregato: ambito ""Altri Strumenti Finanziari"" sempre a 0";"";"";""
36467;Assenza movimenti cc, titoli e fondi;"";"";""
36466;Tabella Strumenti Finanziari: Assenza colonna % apporto rischio;6.41.1 e 6.42.1;"";6.43.0
36465;Scheda Contratto - Assenza di cc associato ma % di strumenti di liquidità diversa da 0;"";"";""
36464;Incongruenza di intestazione dossier e cc - Messaggio visualizzato solo sulla posizione singola;"";"";""
36463;Incongruenza intestazione dossier e cc: riformulare il messaggio;6.41.1 e 6.42.1;"";6.43.0
36461;"Raccolta diretta: assenza pulsante ""Fondi""";"";"";""
36460;Raccomandazione: Adeguatezza migliorativa non funziona;"";"";""
36459;"Raccomandazione e Raccolta Diretta: ""semafori"" holding period, rischio liquidità e rischio credito diventano arancioni da rossi";"";"";""
36458;Raccomandazione: Superamento rischio mercato personalizzato;"";"";""
36457;KO Adeguatezza su tutti gli Strumenti Finanziari;"";"";""
36456;"Sezioni ""Anagrafica"", ""Raccomandazione"" e ""Monitoraggio"":  messaggio ""Contenuto non autorizzato""";6.41.1 e 6.42.1;"";6.43.0
36455;Rischio di liquidità del ptf errato;"";"";""
36454;Parametri di Coerenza ptf errati;"";"";""
36453;Schede Contratto: % di composizione del ptf errate;6.41.2 e 6.42.1 e 6.43.1;"";6.44.0
36452;Schede Contratto: Assenza pulsante per generare i report;6.41.1 e 6.42.1;"";6.43.0
36422;Modulistica Polizze (Xform) per Italiana Assicurazioni;"";"";6.47.0
36421;Acquisizione dati aggiuntivi per produzione doc.ti Polizze;"";"";6.47.0
36420;Adeguamenti documento di raccomandazione;"";"";""
36419;Rimozione cruscotto di gestione;"";"";""
36418;Tuning funzionalità (Twill Office);"";"";""
36417;ACM per le sole funzionalità necessarie (Twill Office);"";"";""
36416;Integrazione con server SMTP;"";"";""
36415;Integrazione Twill Cliente con SSO;"";"";6.51.0
36414;Set Up dell'ambiente Cloud CABEL - PROD;"";"";""
36413;Formazione;"";"";""
36412;SAL / Riunioni Interne;"";"";""
36411;Installazione generica;"";"";""
36407;Fondi - incentivi in sezione costi e oneri;"";"";6.41.0
36400;Errore creazione documenti fascicolo di consiglio;"";"";""
36392;Dati anagrafici integrativi per Strumenti Finanziari - Analysis;"";"";6.51.0
36391;Apertura Raccolta Diretta per Fondi;"";"";6.46.0
36389;Gestione controllo appropriatezza / adeguatezza opportunistica;"";"";6.44.0
36353;Recupero anagrafiche (Mifid) in giornata (real time);"";"";6.53.0
36348;Schede mifid cointestazioni fornite direttamente da Cabel;"";"";6.41.0
36342;dati file emt;6.82.1;"";6.83.0
36340;Gestione utenza per invocazione servizi dispositivi Cabel;"";"";6.41.0
36324;Cruscotto - Calcolo rateo sugli eseguiti ricevuti da Market Hub, Market Access e Akros;"";"";""
36321;Ghosting trasverale;"";"";6.44.0
36320;Adattamento modulo Italiana Assicurazioni;"";"";""
36318;Configurazione anagrafiche GP;"";"";6.48.0
36317;OFN - Gestione concentrazione migliorativa per punteggio di rischio;"";"";""
36306;Controvalore operazioni su ordini vecchi e già inviati a mercato;"";"";""
36303;Alert per Schede contratto incoerenti per intestazione dossier vs cc;"";"";6.41.0
36284;Flusso SF Derivati;"";"";6.40.0
36283;ESG controlli dedicati per Certificates su eccezioni;6.39.4;"";6.40.0
36266;ESG - errore calcolo portafoglio;6.39.4;"";6.40.0
36242;Salvataggio storico info BuyList su obbligazione diretta (TROATO);"";"";6.40.0
36240;Limite prodotti superabile con Iniziativa Cliente;"";"";6.40.0
36232;ESG - Fix Target Market - valutazione campo 20590;6.39.3;"";6.40.0
36226;Composizione portafoglio aggregato: pesi % errati;"";"";""
36225;Crash se mancano i dati TTIANX - intercettare e gestire errore per utente;"";"";6.53.0
36224;Gestioni Patrimoniali - Campi vuoti;"";"";""
36220;Autorizzazione necessaria per DCI e variazione controllo CC a garanzia;"";"";6.40.0
36219;Presenza polizze smobilizzate in precedenza;"";"";""
36218;Cliente non trovato;"";"";""
36217;"Raccomandazione - Aggiornamento portafoglio: esito sempre ""Non coerente"" anche con semafori verdi";"";"";""
36216;ESG controlli dedicati per Certificates;6.39.3;"";6.40.0
36215;Batch consolidatore polizze - tuning assegnazione CC;6.39.3;"";6.40.0
36214;Richiesta non corretta di upload file in Diretta;6.39.3;"";6.40.0
36202;Errore bloccante visualizzazione Clienti;"";"";""
36201;Esposizione Gestioni Patrimoniali;"";"";""
36199;Formattazione anomale dei loghi;"";"";""
36194;mancata ricezione chiamata per conferma operazione con FEA;"";"";""
36192;Fondo IT0005384596 - Apporto al rischio alto ed errata classificazione;"";"";""
36181;Questionario IDD presente anche se la polizza è stata eliminata;"";"";""
36180;Errore accettazione documenti;"";"";""
36178;Sottoscrizione Fondi: Filtro società;"";"";""
36172;ESG - Fix batch carico eccezioni;6.39.3;"";6.40.0 
36171;ordini vecchi non si aprono in Twill;6.39.3;"";6.40.0
36162;Twill fasi batch TEST e PRODUZIONE;"";"";""
36160;Ri-attivazione e configurazione firma in modalità grafometrica;"";"";6.53.0
36156;ESG - Fix evidenza campo Esito adeguatezza ESG per esito negativo;6.39.3;"";6.40.0
36146;Eliminazione riferimenti a Watch List, classificazione, scoring;"";"";6.40.0
36145;Possibilità di estensione a punteggio strategico;"";"";6.40.0
36144;Mantenimento controlli adeguatezza superabili con Iniziativa Cliente;"";"";6.40.0
36142;Informativa non bloccante sui limiti di concentrazione per SF complessi;"";"";6.40.0
36141;Controllo intestatario contratto DCI per professional;"";"";6.40.0
36139;Possibilità operare su tutta l?anagrafica di tipo titolo obbligazionario;"";"";6.40.0
36138;Nessun controllo sull?Appropriatezza;"";"";6.40.0
36137;Inibire Raccomandazione per DCI;"";"";6.40.0
36131;ESG - incongruenze calcoli SF sostenibili/non sostenibili;6.39.2;"";6.40.0
36123;ESG - Sistemazione batch carico eccezioni;6.39.2;"";6.40.0
36112;Estrazione payin per PITIPOCOMM = 'MAN';"";"";6.40.0
36079;Adeguamenti servizi in ambito ordine;"";"";""
36077;Adeguamento Servizi dispositivi cabel v3 per SSO;"";"";6.83.0
36076;Polizze - Gestione cambio contraenza;"";"";""
36047;Implementazione per appropriatezza/adeguatezza del prodotto;"";"";6.41.0
36029;Logiche di riprofilatura clienti;6.39.1;"";6.40.0
36028;Frequenti errori JOB ROSDR;"";"";""
36022;ESG - segnalazione UAT;6.39.1;"";6.40.0
36016;nuovi moduli di proposta Italiana;"";"";""
35938;ERRORE IN ACCESSO VECCHIE RACCOMANDAZIONI;6.35.2 + 6.39.1;"";6.40.0
35937;Segnalazioni dopo rilascio versione 6.39.0;"";"";6.40.0
35936;Errore calcolo portafogli per segnalazioni relative a ESG;6.39.1;"";6.40.0
35929;Installazione X-FORM;"";"";""
35928;Predisposizione ambiente in Cloud CABEL;"";"";""
35927;Attività Progettuali Base;"";"";""
35862;Nuova modale su Portale Cliente (violazione accesso);6.35.1;"";6.40.0
35844;Nuova Convenzione Italiana Assicurazioni (recupero masse da Eurovita);"";"";""
35823;ITALIANA DOPPIA GS - POU2GS;"";"";""
35814;Invio della documentazione a Repository Documentale (ViaCart) - Sviluppo;"";"";""
35805;ESG_dettaglio sostenibilità;"";"";6.40.0
35780;Risposta da dare ad un Manager della rete;"";"";""
35744;Modifica modello ADEIEX11;"";"";""
35730;Adeguamento Esposizione OnLine della Scheda Mifid;"";"";""
35729;Adegamento processi di schede cointestazione;"";"";""
35728;Adattamento processi di acquisizione in SA + PL + LIVE;"";"";""
35727;Adattamenti per schede Mifid di Cambiano;"";"";""
35726;Adattamenti Twill FA;"";"";""
35725;Test e Collaudi;"";"";""
35707;modifica testo evento mail invio proposta;"";"";""
35698;ERRORE SWITCH POLIZZA AZIONE BONUS;"";"";""
35671;Verifica certificazione numero di cellulare per attivaizone FEA;"";"";""
35669;Verifica certificazione numero di cellulare per attivaizone FEA;"";"";""
35658;Installazione in TEST v.6.38.0;"";"";""
35647;Attuazione controlli ESG specifici per Cambiano;"";"";6.45.0
35645;Conduzione progetto;"";"";""
35633;Anagrafica strumenti finanziari in giornata;"";"";6.79.0
35632;Reportistica DCI;"";"";6.69.0
35631;Monitoraggio;"";"";6.43.0
35630;Buy List;"";"";6.40.0
35629;Modalità raccolta ordini;"";"";6.40.0
35628;Contratto di consulenza;"";"";6.38.0
35627;Gestione dei contratti DCI;"";"";6.38.0
35603;ESG - Esposizione in griglia su SF dei dati di sostenibilità;"";"";6.39.0
35600;Attivazione performance in ambiente di TEST;"";"";""
35592;ESG - Disclaimer Adaptation;"";"";6.39.0
35591;ESG - Polizze non UnitLinked;"";"";6.39.0
35587;Portale PAW in TEST;"";"";""
35563;Problemi post installazione versione 6.35;"";"";""
35554;OFN - Fascicolo di consiglio - revisione Costi ed Oneri;"";"";6.38.0
35549;Contratto GP Avantgarde;"";"";""
35537;Nomenclatura file di acquisizione;6.36.1;"";6.37.0
35534;OFN - modifica fascia concentrazione FONDI;"";"";6.37.0
35533;ESG - Criticità + disclaimer;"";"";""
35516;Installazione in PROD v.6.33.0;"";"";""
35509;MONITORAGGIO VISITE;"";"";""
35507;Rilascio versione 6.35.0 - errore monitoraggio;"";"";""
35506;VERIFICA DISCLAIMER MODULO ORDINE - ADEGUATEZZA ORDINE;6.67.3 e 6.69.3;"";6.72.0
35504;BC - Upload documenti firmati in modalità cartacea;"";"";6.39.0
35497;Assistenza fasi batch in errore (utenza twilltomcat ko);"";"";""
35496;Analisi di impatto;"";"";""
