#;Oggetto;# Fixed on ;# Fixed also on ;# Major release
36171;ordini vecchi non si aprono in Twill;6.39.3;"";6.40.0
36156;ESG - Fix evidenza campo Esito adeguatezza ESG per esito negativo;6.39.3;"";6.40.0
36146;Eliminazione riferimenti a Watch List, classificazione, scoring;"";"";6.40.0
36145;Possibilità di estensione a punteggio strategico;"";"";6.40.0
36144;Mantenimento controlli adeguatezza superabili con Iniziativa Cliente;"";"";6.40.0
36142;Informativa non bloccante sui limiti di concentrazione per SF complessi;"";"";6.40.0
36141;Controllo intestatario contratto DCI per professional;"";"";6.40.0
36139;Possibilità operare su tutta l?anagrafica di tipo titolo obbligazionario;"";"";6.40.0
36138;Nessun controllo sull?Appropriatezza;"";"";6.40.0
36137;Inibire Raccomandazione per DCI;"";"";6.40.0
36131;ESG - incongruenze calcoli SF sostenibili/non sostenibili;6.39.2;"";6.40.0
36123;ESG - Sistemazione batch carico eccezioni;6.39.2;"";6.40.0
36112;Estrazione payin per PITIPOCOMM = 'MAN';"";"";6.40.0
36029;Logiche di riprofilatura clienti;6.39.1;"";6.40.0
36022;ESG - segnalazione UAT;6.39.1;"";6.40.0
35938;ERRORE IN ACCESSO VECCHIE RACCOMANDAZIONI;6.35.2 + 6.39.1;"";6.40.0
35937;Segnalazioni dopo rilascio versione 6.39.0;"";"";6.40.0
35936;Errore calcolo portafogli per segnalazioni relative a ESG;6.39.1;"";6.40.0
35862;Nuova modale su Portale Cliente (violazione accesso);6.35.1;"";6.40.0
35805;ESG_dettaglio sostenibilità;"";"";6.40.0
35630;Buy List;"";"";6.40.0
35629;Modalità raccolta ordini;"";"";6.40.0
35603;ESG - Esposizione in griglia su SF dei dati di sostenibilità;"";"";6.39.0
35592;ESG - Disclaimer Adaptation;"";"";6.39.0
35591;ESG - Polizze non UnitLinked;"";"";6.39.0
35504;BC - Upload documenti firmati in modalità cartacea;"";"";6.39.0
35471;BC - Flussi Polizze (contratti, saldi, movimenti);"";"";6.39.0
35628;Contratto di consulenza;"";"";6.38.0
35627;Gestione dei contratti DCI;"";"";6.38.0
35554;OFN - Fascicolo di consiglio - revisione Costi ed Oneri;"";"";6.38.0
35537;Nomenclatura file di acquisizione;6.36.1;"";6.37.0
35534;OFN - modifica fascia concentrazione FONDI;"";"";6.37.0
35449;Segnalazione post rilascio 6.35.0;6.35.1;"";6.36.0
34743;OFN - processo di produzione KIID e comunicazione al cliente;"";"";6.36.0
34157;Revisione per algoritmi su ESG;"";"";6.36.0
30150;Progetto integrazione SFDR - ESG;"";"";6.36.0
35342;PL - Scarico Tabelle POLIZZE da Preload;"";"";6.34.0
35182;"ANOMALIA SU FUNZIONI ""CONFRONTA PER ASSET CLASS"" E ""GRAFICI DI CONFRONTO"" - FUNZIONE RICHIESTA DA ISPEZIONE DI BANCA ITALIA";6.28.5;"";6.34.0
34740;Riapertura ticket 25840 - TTASTR;6.28.5;"";6.34.0
35079;RENDICONTI ANNUALI;6.28.5;"";6.33.0
35047;PRODUZIONE FASCICOLI ANNUALI;6.28.5;"";6.33.0
35029;OFN - Extra per definizione modello preordine (v.2);6.33.0;"";6.33.0
33052;OFN - Creazione modello ordine al consolidamento della proposta;6.33.0;"";6.33.0
33050;OFN - Definizione modello ordine in Xform;6.33.0;"";6.33.0
35044;AZIONE BONUS - ADEGUATA VERIFICA;6.28.5;"";6.32.0
35027;Concentrazione per punteggio - revisione ptf valutato con Liquidità;6.32.0;"";6.32.0
34871;Nuova scheda mifid PG lunghezza 67;6.28.3;"";6.32.0
34847;AZIONE BONUS - errore batch POULI;6.28.3;"";6.32.0
34789;"OFN - Eliminare da raccomandazione ""confronta per asset class""";6.32.0;"";6.32.0
34755;Segnalazione ADAPC a fronte di RSMREC > 31 per nuova scheda mifid;6.28.3;"";6.32.0
34741;"OFN - concentrazione per fasce per ""% tipologia""";6.32.0;"";6.32.0
34689;Operazioni in Agenda FA;6.28.2;"";6.32.0
34651;Nuovo batch caricamento polizze First Baloise;6.32.0;"";6.32.0
34619;Variazione questionario Mifid FEA;6.28.2;"";6.32.0
34571;Riprofilatura MiFID - Modifica penalizzazioni;6.28.2;"";6.32.0
34523;Totali dashboard;6.28.3;"";6.32.0
34327;firmatario posizione consulenza - caso minori con tutor;6.28.3;"";6.32.0
33024;OFN - Tuning azioni disponibili;6.32.0;"";6.32.0
33023;OFN - Adattamento griglie operazioni;6.32.0;"";6.32.0
30151;Rendiconto Unico Costi, Oneri e Incentivi;6.28.5;"";6.32.0
34595;Inserimento polizza in portafoglio riallocato;6.28.2;"";6.31.0
34593;verifica layout;6.28.2;"";6.31.0
34592;Modifica Label;6.28.2;"";6.31.0
34590;Simulazione contratto icona cestino;6.28.2;"";6.31.0
34589;Modifica campi obbligatori anagrafica contratto;6.28.2;"";6.31.0
34577;"OFN - Rimuovere ""bozza"" da produzione fascicolo di consiglio";6.31.0;"";6.31.0
34568;Gestione contratti doppia GS;6.28.2;"";6.31.0
34547;Presunta anomalia inserimento Mifid con FEA;6.28.2;"";6.31.0
34476;OFN - Edit obbligazione in proposta;6.31.0;"";6.31.0
34474;OFN - Confronta fondi target;6.31.0;"";6.31.0
34472;OFN - Concentrazione ?Coco Bond? con ?Titoli sospesi/Complessi?;6.31.0;"";6.31.0
34471;OFN - Esclusione polizze da calcolo concentrazione;6.31.0;"";6.31.0
34470;OFN - Cambio dicitura punteggio di rischio;6.31.0;"";6.31.0
34469;OFN - FONDI LISTA O CON COMPLESSITA? 999;6.31.0;"";6.31.0
34468;OFN - Revisione Watch List (LISTA STRUMENTI FINANZIARI);6.31.0;"";6.31.0
34467;OFN - CONCENTRAZIONE PUNTEGGIO DI RISCHIO per Singolo Titolo;6.31.0;"";6.31.0
34368;modifica TM3;6.31.0;"";6.31.0
34351;Saldo DV non presente in calcolo performance;6.28.2;"";6.31.0
34152;Sincronizzazione flussi SIED per RSMREC / QPGREC;6.31.0;"";6.31.0
33996;LIQUIDITA-AMMINISTRATO non visibile a fronte di Importa;6.28.2;"";6.31.0
33883;"OFN - Rinomina ""adeguatezza"" nel terzo semaforo della consulenza con Appropriatezza/ Adeguatezza";6.31.0;"";6.31.0
33027;OFN - Tuning funzioni non oggetto di implementazione;6.31.0;"";6.31.0
34477;OFN - Extra per definizione modello preordine;6.30.0;"";6.30.0
34404;Errore in accesso Riepilogo da Raccomandazione;6.28.2;"";6.30.0
34317;Mancato carico TGVUNQ per codice convenzione;6.30.0;"";6.30.0
34263;Verifche post rilascio 6.29.0;6.30.0;"";6.30.0
34125;SIMULATORE MODALE POLIZZE - SCELTA NUOVO INSERIMENTO;6.30.0;"";6.30.0
33061;OFN - Segnalazione monitoraggio orizzonte temporale;6.30.0;"";6.30.0
33051;OFN - Creazione modello preordine al consolidamento della raccomandazione;6.30.0;"";6.30.0
33049;OFN - Definizione modello preordine in Xform;6.30.0;"";6.30.0
33032;OFN - Disabilitare messaggistica vs la Clientela e PF;6.30.0;"";6.30.0
33015;OFN - Revisione controlli Accesso WatchList/RichiestaCliente vs classificazione titolo;6.30.0;"";6.30.0
30445;Informativa Costi, Oneri e Incentivi - Switch Fondi e SICAV;6.30.0;"";6.30.0
33060;OFN - Esposizione su nuovo tab nella coerenza di portafoglio;6.29.0;"";6.29.0
33059;OFN - Revisione calcolo holding period;6.29.0;"";6.29.0
34401;Menù Gestione contratti sempre disponibile;6.28.1;"";6.28.1
34175;Pagina di firma documento di contratto;6.28.0;"";6.28.0
34156;Gestione schede mifid attuali e nuova versione;6.28.0;"";6.28.0
34151;Revisione base dati - ESG;6.28.0;"";6.28.0
34126;MODALE FLEX SOLUTION;6.28.0;"";6.28.0
33416;OFN - Revisione base dati;6.28.0;"";6.28.0
33055;OFN - Revisione liste con esposizione TM4;6.28.0;"";6.28.0
33921;Attività per il passaggio in produzione della polizza Doppia GS;6.26.0;"";6.26.0
33917;ERRORE POULI;6.23.3;"";6.26.0
33874;DGS - Tuning per nuovi codici società e prodotto;6.26.0;"";6.26.0
33873;DGS - Nessuna documentazione richiesta;6.26.0;"";6.26.0
33872;DGS - Tuning/adattamenti su flusso Input/Output;6.26.0;"";6.26.0
33871;DGS - Controlli per operazione su nuova polizza;6.26.0;"";6.26.0
33870;DGS - Configurazione questionario IDD;6.26.0;"";6.26.0
33869;DGS - Configurazione nuova società e prodotto;6.26.0;"";6.26.0
33851;OFN - Svuotamento temporaneo Xform (fasc cons e mod ord) per invocazione servizi Cabel;6.25.1;"";6.26.0
33625;errore simulatore;6.26.0;"";6.26.0
33054;OFN - Calcolo nuovo algoritmo adeguatezza portafoglio;6.26.0;"";6.26.0
33043;OFN - Attivazione / tuning operatività B.O. su Twill Office;6.26.0;"";6.26.0
33034;OFN - Attivazione / tuning operatività B.O. su Twill Office;6.26.0;"";6.26.0
33021;OFN - Revisione controlli ordine Adeguato/Appropriato;6.26.0;"";6.26.0
33761;Inibizione operatività in fondo per SF senza contratto;6.25.0;"";6.25.0
33689;OFN - Adeguamento integrazione servizi Cabel;6.25.0;"";6.25.0
32596;OMW - tuning/adattamenti simulatore/previsionale;6.25.0;"";6.25.0
33693;"OFN - Rimozione funzione ""Simulare Liquidità"" in raccomandazione";6.24.0;"";6.24.0
33665;OFN - Nuovi flussi per controlli Target Market (rif.33022);6.24.0;"";6.24.0
33053;OFN - Recupero valore TM4 da Cabel;6.24.0;"";6.24.0
32595;OMW - tuning/adattamenti su flusso Input/Output;6.23.0;"";6.23.0
32594;OMW - Online proposta per acquisizione nuova informazione da stampare su modulo;6.23.0;"";6.23.0
32593;OMW - Xform per modifiche all'attuale modulo;6.23.0;"";6.23.0
32592;OMW - tuning per nuovi codici società e prodotto (online, performance, masse medie, disclouser...);6.23.0;"";6.23.0
32591;OMW - configurazione nuova società e prodotto;6.23.0;"";6.23.0
26268;Polizze a garanzia - Blocco rimborsi;6.23.0;"";6.23.0
33427;Monitoraggio - mantenimento attivi solo controlli documenti;6.22.0;"";6.22.0
33007;Visibilità Consulenti manager;6.21.6;"";6.22.0
32907;Twill Governance - errore aggiornamento utenti;6.21.3;"";6.22.0
26937;CTR - Gestione registrazione firma FEA con invio mail al B.O.;6.22.0;"";6.22.0
26936;CTR - Integrazione documento con IdSign per FEA con invio mail al Cliente;6.22.0;"";6.22.0
26935;CTR - Revisione Xform per punti firma;6.22.0;"";6.22.0
26933;CTR - Simulatore - Gestione prodotti;6.22.0;"";6.22.0
26932;CTR - Simulatore;6.22.0;"";6.22.0
26930;CTR - Gestione Note;6.22.0;"";6.22.0
26929;CTR - Gestione Extra Dossier;6.22.0;"";6.22.0
26928;CTR - Edit Contratto con possibilità di sostituzione dell'esistente;6.22.0;"";6.22.0
26927;CTR - Edit Cliente con Link a Contratto in essere e in via di definizione;6.22.0;"";6.22.0
26926;CTR - I miei clienti - visualizzazione/edit contratto (sia nuova apertura che contratto eventualmente già esistente);6.22.0;"";6.22.0
26924;CTR - Attività trasversali per porting;6.22.0;"";6.22.0
26923;CTR - Test non regressione;6.22.0;"";6.22.0
26922;CTR - Solo DM può lavorare sui contratti;6.22.0;"";6.22.0
28319;Utilizzo FEA dall'estero (segue da RM #27469);6.19.0;"";6.19.0
30978;Utilizzo FEA dall'estero - Doc.to sottoscrizione contratto Fea da portale cliente;6.17.0;"";6.17.0
30926;Verifica SF DE0001965556 su cliente Benelli: risulta non adeguato e non appropriato;6.17.0;"";6.17.0
30321;Tabella W70 rating per punteggio rating (nuova versione excel simulatore multivariata);6.13.2;"";6.14.0
30300;Punteggi di rischiosità del titolo (090 --> 000);6.13.2;"";6.14.0
30299;Controllo di appropriatezza per clienti professionali;6.13.2;"";6.14.0
30275;agenda;6.13.2;"";6.14.0
30274;decimali non evidenziati correttamente;6.13.2;"";6.14.0
30273;no funzione export per conti correnti;6.13.2;"";6.14.0
30123;Carico 2 pdf di sottoscrizione fondi;6.12.7;"";6.14.0
30046;Aggiornamento pdf in xform - 5 società;6.12.6;"";6.14.0
30043;Revisione controllo di adeguatezza;6.13.2;"";6.14.0
30008;Revisione corpo mail modulo d'ordine ed esposizione KIID in portale cliente;6.12.6;"";6.14.0
29963;Aggiornamento pdf ni xform - 8 società;6.12.6;"";6.14.0
29956;Riapertura RM #29088 - Sottoscrizione casa prodotto già in portafoglio;6.12.6;"";6.14.0
29910;PSK - Link modulo prima sottoscrizione + sezione portale cliente;6.12.5;"";6.14.0
29892;Corpo mail modulo d'ordine e prima sottoscrizione;6.12.5;"";6.14.0
29884;Ko reinvio mail per firma FEA;6.12.4;"";6.14.0
29879;Verifica punteggio di appropriatezza SF;6.13.1;"";6.14.0
29864;Prima sottoscrizione OICR per entità giuridiche;6.12.4;"";6.14.0
29855;Mancato invio mail per Fea per modulo d'ordine;6.12.3;"";6.14.0
29854;Supporto per ricarico clienti UNICASIM e intervento SIPCI;6.12.3;"";6.14.0
29852;Modulo ordine in errore per firma su sezione KIID;6.12.2;"";6.14.0
29851;ERRORE IN FORZATURA ORDINI;6.12.2;"";6.14.0
29818;Moduli prime sottoscrizioni fondi;6.12.1;"";6.14.0
29817;Nuova versione pdf Natixis;6.12.1;"";6.14.0
29815;PDF Editabili - documentGroup e xml format ko;6.12.1;"";6.14.0
29797;Mancato aggiornamento FEA;6.14.0;"";6.14.0
29353;ADM - System & Integration Test  c/o Consulia - Stream2;6.13.0;"";6.13.0
29352;ADM - System & Integration Test  c/o Consulia - Stream1;6.13.0;"";6.13.0
29351;ADM - System & Integration Test  c/o IFIGEST - Stream2;6.13.0;"";6.13.0
29350;ADM - System & Integration Test  c/o IFIGEST - Stream1;6.13.0;"";6.13.0
29349;ADM -  Dettaglio calcoli punteggi di rischio nella scheda titolo;6.13.0;"";6.13.0
29348;ADM - Revisione griglie per esposizione punteggio rischio;6.13.0;"";6.13.0
29347;ADM - Revisione controllo di adeguatezza sul titolo;6.13.0;"";6.13.0
29346;ADM - Revisione controllo di appropriatezza sul titolo;6.13.0;"";6.13.0
29345;ADM - Revisione normalizzatore ADNOR per popolamento TTIMIF;6.13.0;"";6.13.0
29344;ADM - Revisione TTIMIF con nuovi campi di rischio del Titolo;6.13.0;"";6.13.0
29343;ADM - Revisione buildPtf per esposizione nuovo punteggio rischio;6.13.0;"";6.13.0
29342;ADM - Algoritmo per popolamento tabella con campi di rischio del titolo;6.13.0;"";6.13.0
29341;ADM - Nuove tb con dati di dominio e punteggi PL e LIVE;6.13.0;"";6.13.0
29340;ADM - Definizione query di popolamento e innesto in processi batch;6.13.0;"";6.13.0
29339;ADM - Definizione tab SA, PL, LIVE con dati aggiuntivi Titolo;6.13.0;"";6.13.0
29336;ADM - Roll-Out;6.13.0;"";6.13.0
29335;ADM - SAL / Riunioni Interne;6.13.0;"";6.13.0
29334;ADM - Conduzione progetto;6.13.0;"";6.13.0
28819;ADM - Simulazione/calcolo dell?adeguatezza multivariata di un SF - Valutazioni progettuali;6.13.0;"";6.13.0
29796;Nuova versione pdf Franklin Templeton;6.12.1;"";6.12.1
39747;Applicazioni Banca - mancata assegnazione patrimonio per ptf con saldo a 0 (rif. #39210);"";"";1.8.0
39723;Applicazioni Banca - % con tre decimali in lista ricerca contratti (rif. #39210);1.7.1;"";1.8.0
39644;Applicazioni Banca - Documento Contratto - tuning (rif. #39210);1.6.1;"";1.7.0
39610;(rif #39210) - Applicazioni Banca - ambiente Test - segnalazione importo canone in deroga non numerico;1.6.1;"";1.7.0
38290;ERRORE APERTURA CONTRATTO GT;"";"";1.4.0
